172.18.71.0,9**2-6,75,21/10/2023 - 10:31:21 
172.18.71.0,9*8,72,21/10/2023 - 11:30:9 
172.18.71.0,3+29*8,235,21/10/2023 - 11:30:13 
172.18.71.0,5*9,45,21/10/2023 - 11:30:27 
172.18.71.0,9&8,8,21/10/2023 - 11:30:41 
172.18.71.0,9^8,1,21/10/2023 - 11:41:26 
172.18.71.0,8*69x8,544,21/10/2023 - 11:41:55 
172.18.71.0,8**2,64,21/10/2023 - 12:7:33 
172.18.71.0,(74+69)*2/10+20,48,21/10/2023 - 12:8:42 
172.18.71.0,6+3*5,21,21/10/2023 - 13:23:11 
172.18.71.0,6+3*9,33,21/10/2023 - 13:24:12 
172.18.71.0,9*3+3-6*90,-510,21/10/2023 - 16:2:46 
